Index,MAC,Vendor,SSID,Channel,Mode,RSSI,Noise,Security
1,d4:2c:46:51:29:41,BUFFALO.INC,!_AXETR_2.4G,1,802.11g/n/ax,-22,-95,TKIP/AES
2,88:57:ee:6f:db:a4,BUFFALO.INC,19_11g_CPSE_KH,11,802.11g/n,-25,-95,AES
3,88:57:ee:6f:db:a3,BUFFALO.INC,22_11g_CPSE_HM,11,802.11g/n,-25,-95,AES
4,88:57:ee:6f:db:a6,BUFFALO.INC,20_11g_CPSE_MA,11,802.11g/n,-25,-95,AES
5,88:57:ee:6f:db:a2,BUFFALO.INC,18_11g_CPSE_HT,11,802.11g/n,-26,-95,AES
6,88:57:ee:6f:db:a5,BUFFALO.INC,23_11g_CPSE_AY,11,802.11g/n,-26,-95,AES
7,88:57:ee:6f:db:a1,BUFFALO.INC,17_11g_CPSE_Share,11,802.11g/n,-26,-95,AES
8,88:57:ee:6f:db:a7,BUFFALO.INC,21_11g_CPSE_TT,11,802.11g/n,-27,-95,AES
9,34:3d:c4:34:3e:80,BUFFALO.INC,AW-WAPM1166D-g,6,802.11g/n,-27,-95,AES
10,34:3d:c4:34:3e:82,BUFFALO.INC,0000BITSTEST-ZZZZ,6,802.11g/n,-28,-95,AES
11,34:3d:c4:34:3e:81,BUFFALO.INC,.,6,802.11g/n,-28,-95,AES
12,74:da:38:61:49:92,Edimax Technology Co. Ltd.,CFD-RMG2.4G,3,802.11g/n,-28,-95,AES
13,c4:36:c0:c3:17:72,BUFFALO.INC,navitest-ma,1,802.11g/n/ax,-29,-95,AES
14,c4:36:c0:c3:17:71,BUFFALO.INC,Navitest-24,1,802.11g/n/ax,-29,-95,AES
15,c4:36:c0:c3:17:73,BUFFALO.INC,radiustest-peap,1,802.11g/n/ax,-29,-95,AES
16,c4:36:c0:c3:17:74,BUFFALO.INC,radiustest-tls,1,802.11g/n/ax,-29,-95,AES
17,50:c4:dd:ca:71:98,BUFFALO.INC,Buffalo-G-7190,1,802.11g/n/ax,-30,-95,AES
18,50:c4:dd:4f:c1:78,BUFFALO.INC,Buffalo-G-C178,6,802.11g/n,-30,-95,AES
19,60:84:bd:46:26:f0,BUFFALO.INC,FREESPOT,11,802.11g/n,-32,-95,NONE
20,50:c4:dd:ca:71:9f,BUFFALO.INC,Buffalo-G-7190-WPA3,1,802.11g/n/ax,-32,-95,AES
21,58:27:8c:fb:09:02,BUFFALO.INC,FREESPOT,9,802.11g/n,-39,-95,NONE
22,58:27:8c:fb:09:01,BUFFALO.INC,WAP-BITSsales_G,9,802.11g/n,-40,-95,AES
23,58:27:8c:fb:09:00,BUFFALO.INC,WAP-G,9,802.11g/n,-40,-95,AES
24,58:27:8c:fb:09:03,BUFFALO.INC,.,9,802.11g/n,-42,-95,AES
25,18:c2:bf:c3:0e:a3,BUFFALO.INC,.,9,802.11g/n,-46,-95,AES
26,c4:36:c0:c3:cc:01,BUFFALO.INC,arikearike,1,802.11g/n/ax,-47,-95,AES
27,18:c2:bf:62:ac:b1,BUFFALO.INC,WAP-BITSsales_G,3,802.11g/n,-48,-95,AES
28,18:c2:bf:62:ac:b3,BUFFALO.INC,.,3,802.11g/n,-48,-95,AES
29,c4:36:c0:c3:17:41,BUFFALO.INC,arikearike,1,802.11g/n/ax,-48,-95,AES
30,34:3d:c4:4b:4f:80,BUFFALO.INC,arikearike,1,802.11g/n,-49,-95,AES
31,18:c2:bf:c3:17:d1,BUFFALO.INC,WAP-BITSsales_G,6,802.11g/n,-50,-95,AES
32,18:c2:bf:c3:17:d3,BUFFALO.INC,.,6,802.11g/n,-51,-95,AES
33,18:c2:bf:c3:08:40,BUFFALO.INC,FREESPOT,11,802.11g/n,-52,-95,NONE
34,18:c2:bf:c3:17:d0,BUFFALO.INC,WAP-G,6,802.11g/n,-52,-95,AES
35,58:27:8c:c5:a1:e0,BUFFALO.INC,arikearike,1,802.11g/n,-53,-95,AES
36,18:c2:bf:c3:17:d2,BUFFALO.INC,FREESPOT,6,802.11g/n,-55,-95,NONE
37,18:c2:bf:c3:0e:a0,BUFFALO.INC,WAP-G,9,802.11g/n,-58,-95,AES
38,18:c2:bf:c3:0e:a1,BUFFALO.INC,WAP-BITSsales_G,9,802.11g/n,-59,-95,AES
39,50:41:b9:05:0a:79,"I-O DATA DEVICE,INC.",IODATA-050a78-2G,1+5,802.11g/n,-59,-95,AES
40,52:41:b9:15:0a:79,<Random MAC>,IO-Guest-050a78-2G,1+5,802.11g/n,-59,-95,AES
41,d0:15:a6:7c:29:83,"Aruba, a Hewlett Packard Enterprise Company",DTKY_DEV,11,802.11g/n,-60,-95,AES
42,50:c4:dd:b4:08:28,BUFFALO.INC,DTKY_DiRAS,5+1,802.11g/n,-60,-95,AES
43,d0:15:a6:7c:29:82,"Aruba, a Hewlett Packard Enterprise Company",DTKY_BIZ,11,802.11g/n,-65,-95,AES
44,18:c2:bf:62:de:92,BUFFALO.INC,FREESPOT,10,802.11g/n,-66,-95,NONE
45,18:c2:bf:62:de:91,BUFFALO.INC,WAP-BITSsales_G,10,802.11g/n,-66,-95,AES
46,18:c2:bf:62:de:90,BUFFALO.INC,WAP-G,10,802.11g/n,-67,-95,AES
47,18:c2:bf:62:de:93,BUFFALO.INC,.,10,802.11g/n,-68,-95,AES
48,6c:fa:a7:c2:bc:79,"AMPAK Technology, Inc.",6cfaa7c2bc79,8,802.11g/n,-68,-95,NONE
49,ac:23:16:2d:4e:c1,"Mist Systems, Inc.",VKjfJSwr5amFWsZr,1,802.11g/n/ax,-71,-95,AES
50,cc:e1:d5:ee:de:d4,BUFFALO.INC,Buffalo-G-DED4,2,802.11g/n,-77,-95,AES
51,18:c2:bf:62:d6:23,BUFFALO.INC,.,2,802.11g/n,-77,-95,AES
52,00:14:06:28:01:60,Go Networks,CHIYODA_Free_Wi-Fi,1,802.11g/n,-79,-95,NONE
53,ac:23:16:2d:3a:81,"Mist Systems, Inc.",GungHo-Guest,11,802.11g/n/ax,-80,-95,AES
54,dc:a4:ca:ed:7a:b0,"Apple, Inc.",AirMac_F17H06,11,802.11g/n,-82,-95,AES
55,ac:23:16:2d:3a:82,"Mist Systems, Inc.",.,11,802.11g/n/ax,-83,-95,AES
56,ac:23:16:2d:3a:83,"Mist Systems, Inc.",.,11,802.11g/n/ax,-83,-95,AES
57,84:af:ec:3b:8e:38,BUFFALO.INC,testtest,40(80MHz),802.11a/n/ac,-25,-95,AES
58,d4:2c:46:51:29:51,BUFFALO.INC,!_AXETR_5G,36+40,802.11a/n/ac/ax,-29,-95,NONE
59,60:84:bd:46:26:f8,BUFFALO.INC,FREESPOT,40(80MHz),802.11a/n/ac,-33,-95,NONE
60,88:57:ee:6f:db:b6,BUFFALO.INC,20_11a_CPSE_MA,48+44,802.11a/n/ac,-34,-95,AES
61,88:57:ee:6f:db:b4,BUFFALO.INC,19_11a_CPSE_KH,48+44,802.11a/n/ac,-34,-95,AES
62,4c:5e:0c:2a:10:7f,Routerboard.com,VLAN22-local,40,802.11a/n/ac,-34,-95,NONE
63,88:57:ee:6f:db:b3,BUFFALO.INC,22_11a_CPSE_HM,48+44,802.11a/n/ac,-34,-95,AES
64,88:57:ee:6f:db:b5,BUFFALO.INC,23_11a_CPSE_AY,48+44,802.11a/n/ac,-34,-95,AES
65,88:57:ee:6f:db:b8,BUFFALO.INC,21_11a_CPSE_TT,48+44,802.11a/n/ac,-34,-95,AES
66,88:57:ee:6f:db:b2,BUFFALO.INC,18_11a_CPSE_HT,48+44,802.11a/n/ac,-34,-95,AES
67,88:57:ee:6f:db:b1,BUFFALO.INC,17_11a_CPSE_Share,48+44,802.11a/n/ac,-34,-95,AES
68,c4:36:c0:c3:17:81,BUFFALO.INC,Navitest-5,140(80MHz),802.11a/n/ac/ax,-39,-95,AES
69,50:c4:dd:ca:71:a7,BUFFALO.INC,Buffalo-A-7190-WPA3,128(160MHz),802.11a/n/ac/ax,-39,-95,AES
70,74:da:38:61:49:93,Edimax Technology Co. Ltd.,CFD-RMG5G,40(80MHz),802.11a/n/ac,-39,-95,AES
71,50:c4:dd:ca:71:a0,BUFFALO.INC,Buffalo-A-7190,128(160MHz),802.11a/n/ac/ax,-39,-95,AES
72,50:c4:dd:3c:f4:5c,BUFFALO.INC,0000SEKKEI-a,36(80MHz),802.11a/n/ac,-39,-95,AES
73,c4:36:c0:c3:17:83,BUFFALO.INC,radiustest-peap,140(80MHz),802.11a/n/ac/ax,-39,-95,AES
74,c4:36:c0:c3:17:84,BUFFALO.INC,radiustest-tls,140(80MHz),802.11a/n/ac/ax,-39,-95,AES
75,c4:36:c0:c3:17:82,BUFFALO.INC,navitest-ma,140(80MHz),802.11a/n/ac/ax,-39,-95,AES
76,50:c4:dd:4f:c1:7c,BUFFALO.INC,Buffalo-A-C178,36(80MHz),802.11a/n/ac,-40,-95,AES
77,c4:36:c0:c3:cc:11,BUFFALO.INC,arikearike5,36(80MHz),802.11a/n/ac/ax,-43,-95,AES
78,34:3d:c4:34:3e:90,BUFFALO.INC,AW-WAPM1166D-a,36,802.11a/n/ac,-43,-95,AES
79,34:3d:c4:34:3e:91,BUFFALO.INC,AW-WAPM1166D-AAAA,36,802.11a/n/ac,-43,-95,AES
80,58:27:8c:fb:09:21,BUFFALO.INC,WAP-BITSsales_A,136,802.11a/n/ac,-50,-95,AES
81,c4:36:c0:c3:17:51,BUFFALO.INC,arikearike5,36(80MHz),802.11a/n/ac/ax,-50,-95,AES
82,34:3d:c4:4b:4f:90,BUFFALO.INC,arikearike5,48(80MHz),802.11a/n/ac,-51,-95,AES
83,58:27:8c:fb:09:13,BUFFALO.INC,'freespot'=SecurityPassword(AES),36,802.11a/n/ac,-53,-95,AES
84,58:27:8c:fb:09:11,BUFFALO.INC,WAP-BITSsales_A,36,802.11a/n/ac,-53,-95,AES
85,58:27:8c:fb:09:14,BUFFALO.INC,.,36,802.11a/n/ac,-53,-95,AES
86,58:27:8c:fb:09:20,BUFFALO.INC,WAP-A,136,802.11a/n/ac,-53,-95,AES
87,58:27:8c:fb:09:24,BUFFALO.INC,.,136,802.11a/n/ac,-54,-95,AES
88,58:27:8c:fb:09:22,BUFFALO.INC,FREESPOT,136,802.11a/n/ac,-54,-95,NONE
89,58:27:8c:fb:09:10,BUFFALO.INC,WAP-A,36,802.11a/n/ac,-54,-95,AES
90,58:27:8c:fb:09:12,BUFFALO.INC,FREESPOT,36,802.11a/n/ac,-54,-95,NONE
91,58:27:8c:fb:09:23,BUFFALO.INC,'freespot'=SecurityPassword(AES),136,802.11a/n/ac,-54,-95,AES
92,18:c2:bf:c3:17:f0,BUFFALO.INC,WAP-A,124,802.11a/n/ac,-62,-95,AES
93,18:c2:bf:62:ac:d0,BUFFALO.INC,WAP-A,128,802.11a/n/ac,-63,-95,AES
94,52:41:b9:05:0a:7b,<Random MAC>,IODATA-050a78-5G-2,116(80MHz),802.11a/n/ac,-63,-95,AES
95,18:c2:bf:62:ac:d1,BUFFALO.INC,WAP-BITSsales_A,128,802.11a/n/ac,-64,-95,AES
96,18:c2:bf:c3:08:61,BUFFALO.INC,'freespot'=SecurityPassword(AES),100,802.11a/n/ac,-64,-95,AES
97,18:c2:bf:c3:0e:c1,BUFFALO.INC,WAP-BITSsales_A,140,802.11a/n/ac,-65,-95,AES
98,18:c2:bf:c3:0e:c0,BUFFALO.INC,WAP-A,140,802.11a/n/ac,-65,-95,AES
99,18:c2:bf:62:de:b3,BUFFALO.INC,'freespot'=SecurityPassword(AES),104,802.11a/n/ac,-65,-95,AES
100,18:c2:bf:c3:17:f1,BUFFALO.INC,WAP-BITSsales_A,124,802.11a/n/ac,-65,-95,AES
101,18:c2:bf:62:de:b4,BUFFALO.INC,WAP-Drkeihi,104,802.11a/n/ac,-66,-95,AES
102,18:c2:bf:c3:17:f4,BUFFALO.INC,.,124,802.11a/n/ac,-66,-95,AES
103,18:c2:bf:c3:17:e1,BUFFALO.INC,WAP-BITSsales_A,36,802.11a/n/ac,-66,-95,AES
104,18:c2:bf:c3:17:e4,BUFFALO.INC,.,36,802.11a/n/ac,-67,-95,AES
105,18:c2:bf:c3:17:f2,BUFFALO.INC,FREESPOT,124,802.11a/n/ac,-67,-95,NONE
106,18:c2:bf:c3:17:f3,BUFFALO.INC,'freespot'=SecurityPassword(AES),124,802.11a/n/ac,-67,-95,AES
107,18:c2:bf:c3:17:e3,BUFFALO.INC,'freespot'=SecurityPassword(AES),36,802.11a/n/ac,-67,-95,AES
108,18:c2:bf:c3:17:e2,BUFFALO.INC,FREESPOT,36,802.11a/n/ac,-67,-95,NONE
109,18:c2:bf:c3:17:e0,BUFFALO.INC,WAP-A,36,802.11a/n/ac,-67,-95,AES
110,18:c2:bf:62:ac:d4,BUFFALO.INC,.,128,802.11a/n/ac,-68,-95,AES
111,18:c2:bf:62:ac:d2,BUFFALO.INC,FREESPOT,128,802.11a/n/ac,-68,-95,NONE
112,18:c2:bf:62:ac:c1,BUFFALO.INC,WAP-BITSsales_A,48,802.11a/n/ac,-68,-95,AES
113,18:c2:bf:62:ac:c4,BUFFALO.INC,.,48,802.11a/n/ac,-69,-95,AES
114,18:c2:bf:62:ac:c2,BUFFALO.INC,FREESPOT,48,802.11a/n/ac,-69,-95,NONE
115,18:c2:bf:62:ac:d3,BUFFALO.INC,'freespot'=SecurityPassword(AES),128,802.11a/n/ac,-69,-95,AES
116,18:c2:bf:62:ac:c0,BUFFALO.INC,WAP-A,48,802.11a/n/ac,-69,-95,AES
117,18:c2:bf:62:ac:c3,BUFFALO.INC,'freespot'=SecurityPassword(AES),48,802.11a/n/ac,-69,-95,AES
118,18:c2:bf:c3:08:60,BUFFALO.INC,FREESPOT,100,802.11a/n/ac,-70,-95,NONE
119,18:c2:bf:62:de:a5,BUFFALO.INC,.,44,802.11a/n/ac,-71,-95,AES
120,18:c2:bf:c3:0e:c4,BUFFALO.INC,.,140,802.11a/n/ac,-71,-95,AES
121,18:c2:bf:c3:0e:b0,BUFFALO.INC,WAP-A,44,802.11a/n/ac,-71,-95,AES
122,18:c2:bf:c3:0e:b1,BUFFALO.INC,WAP-BITSsales_A,44,802.11a/n/ac,-71,-95,AES
123,18:c2:bf:c3:0e:b3,BUFFALO.INC,'freespot'=SecurityPassword(AES),44,802.11a/n/ac,-71,-95,AES
124,18:c2:bf:c3:0e:b2,BUFFALO.INC,FREESPOT,44,802.11a/n/ac,-71,-95,NONE
125,18:c2:bf:c3:0e:b4,BUFFALO.INC,.,44,802.11a/n/ac,-71,-95,AES
126,50:c4:dd:b4:08:38,BUFFALO.INC,DTKY_DiRAS,100(80MHz),802.11a/n/ac,-71,-95,AES
127,18:c2:bf:c3:08:51,BUFFALO.INC,'freespot'=SecurityPassword(AES),48,802.11a/n/ac,-72,-95,AES
128,18:c2:bf:c3:08:50,BUFFALO.INC,FREESPOT,48,802.11a/n/ac,-72,-95,NONE
129,18:c2:bf:c3:0e:c2,BUFFALO.INC,FREESPOT,140,802.11a/n/ac,-72,-95,NONE
130,18:c2:bf:c3:0e:c3,BUFFALO.INC,'freespot'=SecurityPassword(AES),140,802.11a/n/ac,-72,-95,AES
131,50:c4:dd:b4:08:30,BUFFALO.INC,DTKY_DiRAS,40(80MHz),802.11a/n/ac,-72,-95,AES
132,18:c2:bf:62:de:b2,BUFFALO.INC,FREESPOT,104,802.11a/n/ac,-72,-95,NONE
133,18:c2:bf:62:de:a4,BUFFALO.INC,WAP-Drkeihi,44,802.11a/n/ac,-73,-95,AES
134,18:c2:bf:62:de:a3,BUFFALO.INC,'freespot'=SecurityPassword(AES),44,802.11a/n/ac,-73,-95,AES
135,18:c2:bf:62:de:a1,BUFFALO.INC,WAP-BITSsales_A,44,802.11a/n/ac,-73,-95,AES
136,18:c2:bf:62:de:a0,BUFFALO.INC,WAP-A,44,802.11a/n/ac,-73,-95,AES
137,18:c2:bf:62:de:a2,BUFFALO.INC,FREESPOT,44,802.11a/n/ac,-73,-95,NONE
138,50:41:b9:05:0a:7a,"I-O DATA DEVICE,INC.",IODATA-050a78-5G-1,36(80MHz),802.11a/n/ac,-74,-95,AES
139,52:41:b9:15:0a:7a,<Random MAC>,IO-Guest-050a78-5G-1,36(80MHz),802.11a/n/ac,-74,-95,AES
140,18:c2:bf:62:de:b1,BUFFALO.INC,WAP-BITSsales_A,104,802.11a/n/ac,-75,-95,AES
141,18:c2:bf:62:de:b5,BUFFALO.INC,.,104,802.11a/n/ac,-75,-95,AES
142,18:c2:bf:62:de:b0,BUFFALO.INC,WAP-A,104,802.11a/n/ac,-75,-95,AES
143,18:c2:bf:62:ca:32,BUFFALO.INC,FREESPOT,36,802.11a/n/ac,-84,-95,NONE
144,18:c2:bf:62:ca:43,BUFFALO.INC,'freespot'=SecurityPassword(AES),140,802.11a/n/ac,-84,-95,AES
145,18:c2:bf:62:ca:33,BUFFALO.INC,'freespot'=SecurityPassword(AES),36,802.11a/n/ac,-84,-95,AES
146,18:c2:bf:62:ca:31,BUFFALO.INC,WAP-BITSsales_A,36,802.11a/n/ac,-84,-95,AES
147,18:c2:bf:62:ca:30,BUFFALO.INC,WAP-A,36,802.11a/n/ac,-84,-95,AES
148,18:c2:bf:62:ca:34,BUFFALO.INC,.,36,802.11a/n/ac,-84,-95,AES
149,d0:15:a6:7c:29:92,"Aruba, a Hewlett Packard Enterprise Company",DTKY_BIZ,52(80MHz),802.11a/n/ac,-84,-95,AES
150,d0:15:a6:7c:29:93,"Aruba, a Hewlett Packard Enterprise Company",DTKY_DEV,52(80MHz),802.11a/n/ac,-85,-95,AES
151,d0:15:a6:7c:29:90,"Aruba, a Hewlett Packard Enterprise Company",7bc759ee0ccd298abb735618e76b2d6,52(80MHz),802.11a/n/ac,-85,-95,AES
152,18:c2:bf:62:ca:40,BUFFALO.INC,WAP-A,140,802.11a/n/ac,-86,-95,AES
153,18:c2:bf:62:ca:41,BUFFALO.INC,WAP-BITSsales_A,140,802.11a/n/ac,-86,-95,AES
154,18:c2:bf:62:ca:42,BUFFALO.INC,FREESPOT,140,802.11a/n/ac,-87,-95,NONE
155,d4:2c:46:34:d9:0c,BUFFALO.INC,Buffalo-D900-WPA3,48(80MHz),802.11a/n/ac/ax,-92,-95,AES
156,34:3d:c4:df:16:6c,BUFFALO.INC,MI0024_A,36(80MHz),802.11a/n/ac,-93,-95,AES
157,d4:2c:46:34:d9:09,BUFFALO.INC,.,48(80MHz),802.11a/n/ac/ax,-93,-95,AES
158,18:c2:bf:62:d6:40,BUFFALO.INC,WAP-A,100,802.11a/n/ac,-93,-95,AES
159,d4:2c:46:34:d9:08,BUFFALO.INC,Buffalo-D900,48(80MHz),802.11a/n/ac/ax,-93,-95,AES
160,18:c2:bf:62:d6:30,BUFFALO.INC,WAP-A,36,802.11a/n/ac,-94,-95,AES
161,18:c2:bf:62:d6:44,BUFFALO.INC,.,100,802.11a/n/ac,-94,-95,AES
162,18:c2:bf:62:d6:41,BUFFALO.INC,WAP-BITSsales_A,100,802.11a/n/ac,-94,-95,AES
163,ac:23:16:2d:33:a9,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
164,18:c2:bf:62:d6:32,BUFFALO.INC,FREESPOT,36,802.11a/n/ac,-95,-95,NONE
165,18:c2:bf:62:d6:43,BUFFALO.INC,'freespot'=SecurityPassword(AES),100,802.11a/n/ac,-95,-95,AES
166,ac:23:16:2d:33:a8,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
167,18:c2:bf:62:d6:31,BUFFALO.INC,WAP-BITSsales_A,36,802.11a/n/ac,-95,-95,AES
168,ac:23:16:2d:33:a3,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
169,ac:23:16:2d:33:aa,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
170,ac:23:16:2d:33:ab,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
171,ac:23:16:2d:33:a7,"Mist Systems, Inc.",Next-Match-Tester,52+56,802.11a/n/ac,-95,-95,AES
172,ac:23:16:2d:33:a6,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-95,-95,AES
173,ac:23:16:2d:33:a2,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-96,-95,AES
174,ac:23:16:2d:33:a5,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-96,-95,AES
175,ac:23:16:2d:33:a1,"Mist Systems, Inc.",.,52+56,802.11a/n/ac/ax,-96,-95,AES
176,18:c2:bf:62:d6:34,BUFFALO.INC,.,36,802.11a/n/ac,-96,-95,AES
